time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1522886400653,2018-04-05T00:00:00.653000Z,1011.3673912085558,-80,308,960,3025,27.5,1002.62,27.88,C2:9A:9F:E5:58:27
1522886406083,2018-04-05T00:00:06.082999Z,1012.5927118047018,-80,312,960,3013,27.5,1002.62,27.88,C2:9A:9F:E5:58:27
1522886420313,2018-04-05T00:00:20.312999Z,1019.8745020834672,-76,312,968,3013,27.5,1002.63,27.87,C2:9A:9F:E5:58:27
1522886425633,2018-04-05T00:00:25.632999Z,1019.8745020834672,-76,312,968,3013,27.5,1002.6,27.87,C2:9A:9F:E5:58:27
1522886430913,2018-04-05T00:00:30.913000Z,1018.0844758663202,-84,304,968,3025,27.5,1002.59,27.86,C2:9A:9F:E5:58:27
1522886436633,2018-04-05T00:00:36.632999Z,1012.9165809680479,-84,312,960,3019,27.5,1002.58,27.87,C2:9A:9F:E5:58:27
1522886441643,2018-04-05T00:00:41.642999Z,1018.0844758663202,-84,304,968,3031,27.5,1002.6,27.87,C2:9A:9F:E5:58:27
1522886446643,2018-04-05T00:00:46.642999Z,1015.7873793269928,-72,312,964,3019,27.5,1002.65,27.86,C2:9A:9F:E5:58:27
1522886451623,2018-04-05T00:00:51.622999Z,1011.6916526293968,-84,308,960,3019,27.5,1002.6,27.87,C2:9A:9F:E5:58:27
1522886456713,2018-04-05T00:00:56.713000Z,1020.1803762080508,-80,312,968,3019,27.5,1002.65,27.87,C2:9A:9F:E5:58:27
1522886462253,2018-04-05T00:01:02.253000Z,1020.5018373329859,-84,312,968,3013,27.5,1002.67,27.86,C2:9A:9F:E5:58:27
1522886467643,2018-04-05T00:01:07.642999Z,1018.657940625802,-76,308,968,3019,27.5,1002.59,27.86,C2:9A:9F:E5:58:27
1522886472823,2018-04-05T00:01:12.822999Z,1016.3857535404558,-80,312,964,3013,27.5,1002.65,27.87,C2:9A:9F:E5:58:27
1522886478413,2018-04-05T00:01:18.413000Z,1023.976562231773,-80,312,972,3019,27.5,1002.65,27.86,C2:9A:9F:E5:58:27
1522886483619,2018-04-05T00:01:23.618999Z,1017.7622512158721,-80,304,968,3019,27.5,1002.59,27.86,C2:9A:9F:E5:58:27
1522886489023,2018-04-05T00:01:29.023000Z,1026.8865565387443,-84,308,976,3019,27.5,1002.61,27.86,C2:9A:9F:E5:58:27
1522886494583,2018-04-05T00:01:34.582999Z,1026.442399747789,-80,320,972,3019,27.5,1002.57,27.87,C2:9A:9F:E5:58:27
1522886499633,2018-04-05T00:01:39.632999Z,1016.3857535404558,-80,312,964,3019,27.5,1002.62,27.86,C2:9A:9F:E5:58:27
1522886504643,2018-04-05T00:01:44.642999Z,1013.8323332780426,-80,316,960,3019,27.5,1002.57,27.85,C2:9A:9F:E5:58:27
1522886509713,2018-04-05T00:01:49.713000Z,1020.1803762080508,-80,312,968,3031,27.5,1002.64,27.86,C2:9A:9F:E5:58:27
1522886514769,2018-04-05T00:01:54.769000Z,1012.5927118047018,-80,312,960,3025,27.5,1002.58,27.86,C2:9A:9F:E5:58:27
1522886520313,2018-04-05T00:02:00.312999Z,1022.4597791600411,-76,308,972,3025,27.5,1002.57,27.85,C2:9A:9F:E5:58:27
1522886525639,2018-04-05T00:02:05.638999Z,1020.1803762080508,-80,312,968,3019,27.5,1002.61,27.84,C2:9A:9F:E5:58:27
1522886530899,2018-04-05T00:02:10.898999Z,1017.3141107838817,-76,316,964,3019,27.5,1002.63,27.85,C2:9A:9F:E5:58:27
1522886536483,2018-04-05T00:02:16.483000Z,1021.4107890559998,-80,316,968,3031,27.5,1002.68,27.85,C2:9A:9F:E5:58:27
1522886541643,2018-04-05T00:02:21.642999Z,1011.3673912085558,-80,308,960,3019,27.5,1002.59,27.85,C2:9A:9F:E5:58:27
1522886546623,2018-04-05T00:02:26.622999Z,1020.1803762080508,-80,312,968,3019,27.5,1002.57,27.85,C2:9A:9F:E5:58:27
1522886551623,2018-04-05T00:02:31.622999Z,1018.964179939609,-80,308,968,3013,27.5,1002.57,27.85,C2:9A:9F:E5:58:27
1522886556673,2018-04-05T00:02:36.673000Z,1015.1650112173883,-80,308,964,3019,27.5,1002.6,27.85,C2:9A:9F:E5:58:27
